health beauty
beauty honour
honour as
as much
much as
as child
child loved
loved or
or father
father found
found love
love that
that makes
makes breath
breath poor
poor and
and speech
speech unable
unable beyond
beyond all
all manner
manner of
of so
so much
much love
love you
you cordelia
cordelia aside
aside what
what shall
shall cordelia
cordelia do
do love
love and
and be
be silent
silent lear
lear of
of all
all these
these bounds
bounds even
even from
from this
this line
line to
to this
this with
with shadowy
shadowy forests
forests and
and with
with champains
champains with
with plenteous
plenteous rivers
rivers and
and wide
wide skirted
skirted meads
meads we
we make
make thee
thee lady
lady to
to thine
thine and
and issue
issue be
be this
this perpetual
perpetual what
what says
says our
our second
second daughter
daughter our
our dearest
dearest regan
regan wife
wife to
to cornwall
cornwall speak
speak regan
regan sir
sir am
am made
made of
of the
the self
self same
same metal
metal that
that my
my sister
sister is
is and
and prize
prize me
me at
at her
her worth
worth in
in my
my true
true heart
heart find
find she
she names
names my
my very
very deed
deed of
of love
love only
only she
she comes
comes too
too short
short that
that profess
profess myself
myself an
an enemy
enemy to
to all
all other
other joys
joys which
which the
the most
most precious
precious square
square of
of sense
sense possesses
possesses and
and find
find am
am alone
alone felicitate
felicitate in
in your
your dear
dear highness
highness love
love cordelia
cordelia aside
aside then
then poor
poor cordelia
cordelia and
and yet
yet not
not so
so since
since am
am sure
sure my
my more
more richer
richer than
than my
my tongue
tongue king
king lear
lear to
to thee
thee and
and thine
thine hereditary
hereditary ever
ever remain
remain this
this ample
ample third
third of
of our
our fair
fair kingdom
kingdom no
no less
less in
in space
space validity
validity and
and pleasure
pleasure than
than that
that on
on goneril
goneril now
now our
our joy
joy although
although the
the last
last not
not least
least to
to whose
whose young
young love
love the
the vines
vines of
of france
france and
and milk
milk of
of burgundy
burgundy strive
strive to
to be
be what
what can
can you
you say
say to
to draw
draw third
third more
more opulent
opulent than
than your
your sisters
sisters speak
speak cordelia
cordelia nothing
nothing my
my lord
lord king
king lear
lear nothing
nothing cordelia
cordelia nothing
nothing king
king lear
lear nothing
nothing will
will come
come of
of nothing
nothing speak
speak again
again cordelia
cordelia unhappy
unhappy that
that am
am cannot
cannot heave
heave my
my heart
heart into
into my
my mouth
mouth love
love your
your majesty
majesty according
according to
to my
my bond
bond nor
nor more
more nor
nor less
less king
king lear
lear how
how how
how cordelia
cordelia mend
mend your
your speech
speech little
little lest
lest it
it may
may mar
mar your
your fortunes
fortunes cordelia
cordelia good
good my
my lord
lord you
you have
have begot
begot me
me bred
bred me
me loved
loved me
me return
return those
those duties
duties back
back as
as are
are right
right fit
fit obey
obey you
you love
love you
you and
and most
most honour
honour you
you why
why have
have my
my sisters
sisters husbands
husbands if
if they
they say
say they
they love
love you
you all
all haply
haply when
when shall
shall wed
wed that
that lord
lord whose
whose hand
hand must
must take
take my
my plight
plight shall
shall carry
carry half
half my
my love
love with
with him
him half
half my
my care
care and
and duty
duty sure
sure shall
shall never
never marry
marry like
like my
my sisters
sisters to
to love
love my
my father
father all
all king
king lear
lear but
but goes
goes thy
thy heart
heart with
with this
this cordelia
cordelia ay
ay good
good my
my lord
lord king
king lear
lear so
so young
young and
and so
so untender
untender cordelia
cordelia so
so young
young my
my lord
lord and
and true
true king
king lear
lear let
let it
it be
be so
so thy
thy truth
truth then
then be
be thy
thy dower
dower for
for by
by the
the sacred
sacred radiance
radiance of
of the
the sun
sun the
the mysteries
mysteries of
of hecate
hecate and
and the
